,occupation_field,occupation_name,non-college count,wage/salary
301,CON,Carpenters,2288,19299.76
302,CON,"Carpet, Floor, And Tile Installers And Finishers",547,17769.82
303,CON,"Cement Masons, Concrete Finishers, And Terrazzo Workers",119,19126.05
304,CON,Construction Laborers,4163,16565.8
305,CON,"Paving, Surfacing, And Tamping Equipment Operators",31,20051.61
306,CON,"Construction Equipment Operators, Except Paving,",685,30486.13
307,CON,"Drywall Installers, Ceiling Tile Installers, And Tapers",328,16084.66
308,CON,Electricians,1287,28910.47
309,CON,Glaziers,108,24654.63
310,CON,Insulation Workers,55,26285.45
311,CON,Painters And Paperhangers,1341,17304.93
312,CON,"Pipelayers, Plumbers, Pipefitters, And Steamfitters",942,29352.63
313,CON,Plasterers And Stucco Masons,134,20366.87
314,CON,Roofers,494,17641.56
315,CON,Sheet Metal Workers,190,26214.0
316,CON,Structural Iron And Steel Workers,107,29361.68
317,CON,"Helpers, Construction Trades",174,13759.2
318,CON,Construction And Building Inspectors,138,37787.39
319,CON,Elevator Installers And Repairers,50,58768.0
320,CON,Fence Erectors,80,19681.25
321,CON,Hazardous Materials Removal Workers,38,16881.58
322,CON,Highway Maintenance Workers,104,23277.88
323,CON,Rail,15,13426.67
324,CON,"Miscellaneous Construction Workers, Including Solar",136,23447.57
325,EXT,"Derrick, Rotary Drill, And Service Unit Operators, And",10,64650.0
326,EXT,"Earth Drillers, Except Oil And Gas",51,32888.24
327,EXT,"Explosives Workers, Ordnance Handling Experts, And",22,27595.45
328,EXT,Mining Machine Operators,31,33996.77
329,EXT,"Miscellaneous Extraction Workers, Including Roof",21,52223.81
330,RPR,First,478,41340.17
331,RPR,"Computer, Automated Teller, And Office Machine",154,25754.61
332,RPR,Radio And Telecommunications Equipment Installers And,226,35632.96
333,RPR,Avionics Technicians,56,32762.5
334,RPR,"Electric Motor, Power Tool, And Related Repairers",46,27398.91
335,RPR,"Electrical And Electronics Repairers, Transportation",33,42436.36
336,RPR,"Electronic Equipment Installers And Repairers, Motor",14,14614.29
337,RPR,Electronic Home Entertainment Equipment Installers And,67,25102.99
338,RPR,Security And Fire Alarm Systems Installers,124,30411.29
339,RPR,Aircraft Mechanics And Service Technicians,297,34957.91
340,RPR,Automotive Body And Related Repairers,301,26125.42
341,RPR,Automotive Glass Installers And Repairers,43,27079.07
342,RPR,Automotive Service Technicians And Mechanics,1740,24861.33
343,RPR,Bus And Truck Mechanics And Diesel Engine Specialists,529,32341.78
344,RPR,Heavy Vehicle And Mobile Equipment Service Technicians,343,32999.13
345,RPR,Small Engine Mechanics,135,22432.37
346,RPR,"Miscellaneous Vehicle And Mobile Equipment Mechanics,",147,22959.12
347,RPR,Control And Valve Installers And Repairers,25,45280.0
348,RPR,"Heating, Air Conditioning, And Refrigeration Mechanics",889,30494.4
349,RPR,Home Appliance Repairers,145,20184.83
350,RPR,Industrial And Refractory Machinery Mechanics,447,31634.9
351,RPR,"Maintenance And Repair Workers, General",1144,28824.39
352,RPR,"Maintenance Workers, Machinery",24,26447.08
353,RPR,Millwrights,41,38917.07
354,RPR,Electrical Power,187,55343.69
355,RPR,Telecommunications Line Installers And Repairers,275,30552.73
356,RPR,Precision Instrument And Equipment Repairers,69,23512.32
357,RPR,"Coin, Vending, And Amusement Machine Servicers And",54,22937.96
358,RPR,Locksmiths And Safe Repairers,70,24666.71
359,RPR,Riggers,21,29066.67
360,RPR,Helpers,57,15789.47
361,RPR,"Miscellaneous Installation, Maintenance, And Repair",833,23568.75
362,PRD,First,851,38102.59
363,PRD,"Aircraft Structure, Surfaces, Rigging, And Systems",4,8750.0
364,PRD,"Electrical, Electronics, And Electromechanical",179,20790.0
365,PRD,Engine And Other Machine Assemblers,9,17355.56
366,PRD,Structural Metal Fabricators And Fitters,25,26424.0
367,PRD,Miscellaneous Assemblers And Fabricators,982,19910.48
368,PRD,Bakers,435,17777.93
369,PRD,"Butchers And Other Meat, Poultry, And Fish Processing",371,22545.31
370,PRD,"Food And Tobacco Roasting, Baking, And Drying Machine",9,17922.22
371,PRD,Food Batchmakers,142,17950.0
372,PRD,Food Cooking Machine Operators And Tenders,16,9360.0
373,PRD,"Food Processing Workers, All Other",95,22220.21
374,PRD,Computer Control Programmers And Operators,44,45563.64
375,PRD,"Extruding And Drawing Machine Setters, Operators, And",13,13353.85
376,PRD,"Forging Machine Setters, Operators, And Tenders, Metal",2,24000.0
377,PRD,"Rolling Machine Setters, Operators, And Tenders, Metal",12,52525.0
378,PRD,"Machine Tool Cutting Setters, Operators, And Tenders,",112,23224.11
379,PRD,Machinists,266,31589.85
380,PRD,"Metal Furnace Operators, Tenders, Pourers, And Casters",6,28283.33
381,PRD,"Model Makers, Patternmakers, And Molding Machine",17,28329.41
382,PRD,Tool And Die Makers,38,29294.74
383,PRD,"Welding, Soldering, And Brazing Workers",845,28908.88
384,PRD,"Miscellaneous Metal Workers And Plastic Workers,",252,22529.37
385,PRD,Prepress Technicians And Workers,41,19378.05
386,PRD,Printing Press Operators,271,24468.38
387,PRD,Print Binding And Finishing Workers,36,21632.22
388,PRD,Laundry And Dry,443,14482.51
389,PRD,"Pressers, Textile, Garment, And Related Materials",92,13284.46
390,PRD,Sewing Machine Operators,283,13368.41
391,PRD,Shoe And Leather Workers,18,14927.78
392,PRD,"Tailors, Dressmakers, And Sewers",156,12711.79
