,occupation_field,occupation_name,non-college count,wage/salary
367,RPR,Precision Instrument And Equipment Repairers,1000,42840.39
368,RPR,"Coin, Vending, And Amusement Machine Servicers And",1046,30029.15
369,RPR,Locksmiths And Safe Repairers,808,37255.4
370,RPR,Riggers,429,42649.77
371,RPR,Helpers,845,19712.56
372,RPR,"Miscellaneous Installation, Maintenance, And Repair",8085,35563.37
373,PRD,First,25028,50959.18
374,PRD,"Aircraft Structure, Surfaces, Rigging, And Systems",181,43732.43
375,PRD,"Electrical, Electronics, And Electromechanical",4569,28695.36
376,PRD,Engine And Other Machine Assemblers,445,38271.04
377,PRD,Structural Metal Fabricators And Fitters,982,38960.12
378,PRD,Miscellaneous Assemblers And Fabricators,36342,28200.66
379,PRD,Bakers,6399,20056.04
380,PRD,"Butchers And Other Meat, Poultry, And Fish Processing",8380,26837.4
381,PRD,"Food And Tobacco Roasting, Baking, And Drying Machine",335,28947.52
382,PRD,Food Batchmakers,2765,23551.21
383,PRD,Food Cooking Machine Operators And Tenders,409,18899.15
384,PRD,"Food Processing Workers, All Other",4376,30854.97
385,PRD,Computer Control Programmers And Operators,2525,39535.38
386,PRD,"Extruding And Drawing Machine Setters, Operators, And",467,36456.41
387,PRD,"Forging Machine Setters, Operators, And Tenders, Metal",343,39119.72
388,PRD,"Rolling Machine Setters, Operators, And Tenders, Metal",401,38321.06
389,PRD,"Machine Tool Cutting Setters, Operators, And Tenders,",6128,32508.85
390,PRD,Machinists,11696,43954.99
391,PRD,"Metal Furnace Operators, Tenders, Pourers, And Casters",908,42688.93
392,PRD,"Model Makers, Patternmakers, And Molding Machine",1695,34220.81
393,PRD,Tool And Die Makers,1864,51468.25
394,PRD,"Welding, Soldering, And Brazing Workers",22631,39042.53
395,PRD,"Miscellaneous Metal Workers And Plastic Workers,",14951,34544.64
396,PRD,Prepress Technicians And Workers,820,27606.92
397,PRD,Printing Press Operators,5941,33911.53
398,PRD,Print Binding And Finishing Workers,839,27826.93
399,PRD,Laundry And Dry,7022,18454.9
400,PRD,"Pressers, Textile, Garment, And Related Materials",1486,19620.91
401,PRD,Sewing Machine Operators,6744,21237.93
402,PRD,Shoe And Leather Workers,480,24137.48
403,PRD,"Tailors, Dressmakers, And Sewers",2063,22389.55
404,PRD,"Textile Bleaching And Dyeing, And Cutting Machine",360,25020.53
405,PRD,"Textile Knitting And Weaving Machine Setters,",358,25849.7
406,PRD,"Textile Winding, Twisting, And Drawing Out Machine",454,23779.83
407,PRD,Upholsterers,1296,27802.53
408,PRD,"Miscellaneous Textile, Apparel, And Furnishings",643,26947.85
409,PRD,Cabinetmakers And Bench Carpenters,1912,30969.19
410,PRD,Furniture Finishers,441,25975.4
